adcode,city,province,any_response,all_responses,central_response
511100,乐山,四川,1.0760102291319642,1.0992063347532612,1.0841959760535491
511300,南充,四川,1.0822436782456517,1.1035527274830863,1.0897152481478922
511400,眉山,四川,1.0814551322955728,1.1026550808737983,1.0889279396172056
511500,宜宾,四川,1.0753433197110738,1.098724725545541,1.0835654909182206
511600,广安,四川,1.078164324257783,1.1010699857885677,1.0861745611345237
511700,达州,四川,1.0818583334339706,1.1032841972767713,1.0893663631901207
511800,雅安,四川,1.0941033923886352,1.1083449468797522,1.0992697691465105
511900,巴中,四川,1.0838500478428605,1.1040200189240739,1.0909420995727965
512000,资阳,四川,1.079665503389442,1.1022851733096335,1.087610466714168
513200,阿坝,四川,1.1168721172710117,1.1209760318821407,1.1184989243345287
513300,甘孜,四川,1.121031273913466,1.1230224122831036,1.1219921772866297
513400,凉山,四川,1.0967422172426657,1.110839651161837,1.101770372041981
520100,贵阳,贵州,1.095502192753752,1.1065654593502938,1.0996384556252696
520200,六盘水,贵州,1.0976968745656117,1.1081423687384377,1.1016211578859918
520300,遵义,贵州,1.08248444417334,1.1010713401345946,1.0891062261219904
520400,安顺,贵州,1.096485815451254,1.1071583324997167,1.1005050704507944
520500,毕节,贵州,1.0986860015736124,1.1084423560187773,1.102359491614924
520600,铜仁,贵州,1.083210148263335,1.1023062242037833,1.0900086656180146
522300,黔西南,贵州,1.0915897486727375,1.106062748970357,1.096844165266668
522600,黔东南,贵州,1.0885472292766272,1.1047942772810768,1.094399765279758
522700,黔南,贵州,1.0921031139683546,1.105915308843454,1.0971511762107884
530100,昆明,云南,1.0994778849449531,1.1114598707894792,1.103844696262696
530300,曲靖,云南,1.1001085558044466,1.1108439509768542,1.1040778281778694
530400,玉溪,云南,1.094340064445799,1.1090921855482991,1.0996571893253189
530500,保山,云南,1.0868620536446425,1.107062506817465,1.0938969861868888
530600,昭通,云南,1.0924972969254976,1.1064278976905202,1.0975391993523091
530700,丽江,云南,1.0978337221718821,1.1119043584634771,1.1028136312429724
530800,普洱,云南,1.0832535191893884,1.1051894844888719,1.0908730393711936
530900,临沧,云南,1.0856572955749813,1.1065286103927219,1.0929132337541503
532300,楚雄,云南,1.0964176002795811,1.111185864351969,1.101661799971248
532500,红河,云南,1.0892184422878795,1.1061632238942707,1.0952847412188593
532600,文山,云南,1.0879394728655658,1.105379669304757,1.0941509720342486
532800,西双版纳,云南,1.0702290135642334,1.0997889863365375,1.080226873927201
532900,大理,云南,1.0934905191789657,1.1098531669660232,1.0992743509181848
533100,德宏,云南,1.0805724260857412,1.1044110585486615,1.08881819594766
533300,怒江,云南,1.0940669559368004,1.1097155265692924,1.0996089283309862
533400,迪庆,云南,1.1123591759697153,1.1181504965977311,1.11461683063007
540100,拉萨,西藏,1.1240047046169546,1.1257281016297802,1.1248457368691807
540200,日喀则,西藏,1.1226192627209033,1.1251870789994765,1.1236136492214943
540300,昌都,西藏,1.1225327230771809,1.1249229430917937,1.1237685661076542
540400,林芝,西藏,1.1192934746354801,1.1219791296923518,1.1206691986357324
540500,山南,西藏,1.1195572337066357,1.1231412284851676,1.1209675869433522
540600,那曲,西藏,1.1265669197198598,1.1300066847156736,1.1285781859700619
542500,阿里,西藏,1.127349767596534,1.1291347524573943,1.128294359341924
610100,西安,陕西,1.087630375706142,1.1081335578304607,1.0946061842369659
610200,铜川,陕西,1.0960752423419176,1.1121814341433989,1.1016045592102317
610300,宝鸡,陕西,1.0970166410404152,1.1116657568821773,1.1021050582134653
610400,咸阳,陕西,1.0936989309020935,1.1110491662796076,1.0996315278999984
610500,渭南,陕西,1.0947450186360914,1.1117449839994071,1.1005514534499514
610600,延安,陕西,1.1072954986020687,1.1170002465419915,1.1107016765393432
610700,汉中,陕西,1.089160134934675,1.1073537199350811,1.0954857315867086
610800,榆林,陕西,1.1147510313547373,1.1206864386580906,1.1168460260003594
610900,安康,陕西,1.0857213873152254,1.1059532539436907,1.0927320483756966
611000,商洛,陕西,1.0938873248875687,1.1101164158428476,1.0995246388105964
620100,兰州,甘肃,1.1155627229268577,1.12119294000948,1.1175218098613124
620200,嘉峪关,甘肃,1.1188696690188646,1.123681835240905,1.1204319940000285
620300,金昌,甘肃,1.1180464550172688,1.1230787690069208,1.1197599471591804
620400,白银,甘肃,1.117078788600081,1.1217460436295519,1.1187428802871768
620500,天水,甘肃,1.1119200842845443,1.1177522279624308,1.1140983353126441
620600,武威,甘肃,1.1171636804864324,1.1227001753878814,1.119061173811329
620700,张掖,甘肃,1.1164979528080319,1.122824626088472,1.1185349918643241
620800,平凉,甘肃,1.1104797138751719,1.1176622962413902,1.1130791732565204
620900,酒泉,甘肃,1.118594236769792,1.123996568698612,1.120344384465317
621000,庆阳,甘肃,1.1105339052042464,1.118222215402388,1.1132705790794797
621100,定西,甘肃,1.117060054239153,1.1210432361864515,1.118556070143929
621200,陇南,甘肃,1.1063102492919505,1.1145373674876589,1.1093445417091492
622900,临夏,甘肃,1.1167084438569443,1.1214674540973488,1.1184062801088361
623000,甘南,甘肃,1.122035146143207,1.1245418794600754,1.1233619646480633
630100,西宁,青海,1.1218812683643624,1.1244920363672526,1.1228295163416333
630200,海东,青海,1.118679047004146,1.1225729534042896,1.1200872835754443
