adcode,city,province,ghi_quartile,gamma_pct_c,spectral_scale,advantage_t0_s0_i0_pct,advantage_t1_s0_i0_pct,advantage_t0_s1_i0_pct,advantage_t1_s1_i0_pct,advantage_t0_s0_i1_pct,advantage_t1_s0_i1_pct,advantage_t0_s1_i1_pct,advantage_t1_s1_i1_pct,thermal_pp,spectral_pp,iam_pp,electrical_pp,total_pct,largest_climate_term
533100,德宏,云南,Q3,-0.1,0.7,0.7417560806652679,3.693497314388372,2.056875871897001,5.154573800077777,0.7597360634704176,3.787900595791172,2.1151366319727805,5.287971731952146,3.062502521317745,1.407809818162864,0.075903311806269,0.7417560806652679,5.287971731952146,thermal
410500,安阳,河南,Q3,-0.1,0.7,0.6545574706427804,2.414915149978869,1.628824624227443,3.5056938086150518,0.6718397341232807,2.5076927912002445,1.692571092667139,3.6429757746760494,1.855707827359095,1.055101715216829,0.0776087614573447,0.6545574706427804,3.6429757746760494,thermal
130100,石家庄,河北,Q3,-0.1,0.7,0.6281617508309134,2.265188088683656,1.4940386037687103,3.239547866055159,0.6452803442966504,2.354776473429099,1.557905692369732,3.368494831921831,1.7250393910380966,0.9410292580509404,0.0742644320018803,0.6281617508309134,3.368494831921831,thermal
141000,临汾,山西,Q4,-0.1,0.7,0.648901819652048,2.218897824102317,1.5833866523338402,3.2782993268933414,0.6657386644805419,2.319810394555244,1.6487337813620773,3.422805522583628,1.6728533159963068,1.019559423515485,0.0814909634197872,0.648901819652048,3.422805522583628,thermal
410900,濮阳,河南,Q4,-0.1,0.7,0.6543851430803382,2.4395578257510264,1.6433932075894386,3.543462844363732,0.6717722739276066,2.529260301774383,1.7071145959929312,3.675262830164594,1.8773665830509616,1.068211421079442,0.0752996829538517,0.6543851430803382,3.675262830164594,thermal
140800,运城,山西,Q4,-0.1,0.7,0.6553952659453577,2.3658592933218703,1.6268368068840466,3.4558403304704166,0.672078838302359,2.461200919926787,1.6902674935280082,3.595011859203568,1.80809039855249,1.0531124421341889,0.0784137525715304,0.6553952659453577,3.595011859203568,thermal
371000,威海,山东,Q4,-0.1,0.7,0.6601673625645121,1.053656046526941,1.6345502288859226,2.0600195324821824,0.6774615097484782,1.1043301628738345,1.6942359950484542,2.1501296447151264,0.4251837706633029,1.0105837779301037,0.0541947335572075,0.6601673625645121,2.1501296447151264,spectral
530400,玉溪,云南,Q4,-0.1,0.7,0.7700826417430973,2.41267869707249,2.1240257555165565,3.8557335070791066,0.7883252676962327,2.4874320119776083,2.180322024220649,3.9696103628071633,1.7157638806126232,1.4178824159561767,0.0658814244952658,0.7700826417430973,3.9696103628071633,thermal
370200,青岛,山东,Q4,-0.1,0.7,0.641661492710166,1.3576523842284691,1.6072023770410837,2.3729483410487973,0.6594107450208719,1.4126065662948273,1.6658809337195768,2.468755492859276,0.7594454477662789,1.0108576278849608,0.05679092449787,0.641661492710166,2.468755492859276,spectral
440800,湛江,广东,Q4,-0.1,0.7,0.793331853837298,3.922410478049354,2.305076551340579,5.568417709046081,0.8117712874901928,4.00554743988546,2.3701582893117967,5.692667693065512,3.226715561005385,1.600354022364166,0.0722662558586624,0.793331853837298,5.692667693065512,thermal
450500,北海,广西,Q4,-0.1,0.7,0.7782642169516407,3.6154725622503214,2.251182550308717,5.238682254931226,0.7958911110218736,3.7001525916272815,2.3187446961643765,5.367630613132102,2.9439916182934547,1.5711426645912,0.074232113295806,0.7782642169516407,5.367630613132102,thermal
152500,锡林郭勒,内蒙古,Q4,-0.1,0.7,0.5669463324237567,0.3660100516984954,1.1759942959583602,1.0276022293236764,0.5837821141770672,0.4073426238609734,1.236126518970715,1.103694192315796,-0.1652614619518562,0.6541226077329468,0.0478867141109488,0.5669463324237567,1.103694192315796,spectral
130900,沧州,河北,Q4,-0.1,0.7,0.6200300062136899,1.9846080058900208,1.4887407218438398,2.934048463419936,0.6374786447942427,2.0556914256600223,1.5520651155749745,3.045615215010722,1.429962786777672,0.9302159897120575,0.0654064323073022,0.6200300062136899,3.045615215010722,thermal
654300,阿勒泰,新疆,Q4,-0.1,0.7,0.5603731636997233,1.1917045708386365,1.110278498852968,1.846110303245041,0.5748510868253787,1.2687296736975329,1.1592734512539282,1.955296489344316,0.7140698802871381,0.6186287330725015,0.0622247122849528,0.5603731636997233,1.955296489344316,thermal
371400,德州,山东,Q4,-0.1,0.7,0.6338656317660618,2.097779054476434,1.5577654992439571,3.113168509032027,0.6513351586349803,2.1756065736666,1.6205202021705611,3.2303705338626143,1.5378669889374232,0.9903170255731656,0.0683208875859634,0.6338656317660618,3.2303705338626143,thermal
370500,东营,山东,Q4,-0.1,0.7,0.633753594796227,1.779462146563726,1.5651225257843793,2.778296221497168,0.6517397324187435,1.842301970853688,1.6261562417451358,2.879053534700171,1.200157937265467,0.9849152623215174,0.0602267403169598,0.633753594796227,2.879053534700171,thermal
140900,忻州,山西,Q4,-0.1,0.7,0.6043689135199148,1.4888690093821877,1.39588021748831,2.3601549954041845,0.6202819332519205,1.5639520631691273,1.4554503327977253,2.4755432635110486,0.9528551601640456,0.8521098990314057,0.0662092907956823,0.6043689135199148,2.4755432635110486,thermal
530100,昆明,云南,Q4,-0.1,0.7,0.7476416945920938,2.0138958939913687,2.0445313571119783,3.385073251422255,0.7656399411525072,2.0869762609225573,2.0991789541619177,3.4954288725072225,1.3311477415949142,1.3525668197748992,0.064072616545315,0.7476416945920938,3.4954288725072225,spectral
131100,衡水,河北,Q4,-0.1,0.7,0.6338370626448597,2.2645196554368585,1.5374591874570465,3.27359389894899,0.6512063664294798,2.3486491256850206,1.602970950666727,3.3991341483795123,1.7145448419595088,0.978175520460456,0.0725767233146879,0.6338370626448597,3.3991341483795123,thermal
654200,塔城,新疆,Q4,-0.1,0.7,0.5730441529041341,1.7255623767333803,1.1539171192155084,2.43560483725187,0.5872343860199969,1.816327384256056,1.2082396069178492,2.560998759811506,1.2535559116197044,0.6636893941916651,0.0707093010960021,0.5730441529041341,2.560998759811506,thermal
371500,聊城,山东,Q4,-0.1,0.7,0.6445835231773112,2.2731465459856937,1.6144396313497067,3.334993038501577,0.6627272643741966,2.3498770503503463,1.6794066438575728,3.4541025670728365,1.7023701808625518,1.0377815202981715,0.0693673427348014,0.6445835231773112,3.4541025670728365,thermal
140200,大同,山西,Q4,-0.1,0.7,0.5908599980685381,1.3069323247665745,1.3471922155948055,2.13625464430316,0.6077950290549028,1.3733521324747588,1.4108840220325547,2.2435314444067656,0.7753431717121173,0.814239061905131,0.0630892127209792,0.5908599980685381,2.2435314444067656,spectral
654000,伊犁,新疆,Q4,-0.1,0.7,0.5867039359490844,2.069551284799376,1.2425205388431948,2.8680421174642534,0.601267012312312,2.176912064035452,1.2991405377442256,3.0107666608113703,1.5983522623631785,0.7459511262394746,0.0797593362596327,0.5867039359490844,3.0107666608113703,thermal
530500,保山,云南,Q4,-0.1,0.7,0.720809752673901,3.151977569483533,1.9954456790731048,4.5582570330816585,0.738819175244787,3.243201598891421,2.0524259914322496,4.687916088615585,2.5334182676068533,1.3597645186720535,0.0739235496627762,0.720809752673901,4.687916088615585,thermal
510400,攀枝花,四川,Q4,-0.1,0.7,0.7146058958043877,3.6858959484129983,1.929467759454062,5.04889326040876,0.7321200234264635,3.795539561888317,1.9849706079320797,5.195662721759509,3.0911348953814386,1.307636323923851,0.0822856066498308,0.7146058958043877,5.195662721759509,thermal
460400,儋州,海南,Q4,-0.1,0.7,0.7856622414320169,3.9046254275547865,2.2608327941820328,5.53112965929814,0.8043175011411829,3.994114105109348,2.3291590725990075,5.666229841923309,3.228693563329736,1.5743197303881886,0.0775543067733678,0.7856622414320169,5.666229841923309,thermal
621100,定西,甘肃,Q4,-0.1,0.7,0.6175830257521664,0.9092555501049704,1.4501741384366662,1.830980021645812,0.6333607090810434,0.9914533322187502,1.504119344677557,1.950453760589044,0.369152064479239,0.8959443648744903,0.0677743054831481,0.6175830257521664,1.950453760589044,spectral
141100,吕梁,山西,Q4,-0.1,0.7,0.6108993827502962,1.6192275036707615,1.4547342719324563,2.5561916322538014,0.6268817045233188,1.6996079596856006,1.5154516918360894,2.6792326024246416,1.086400279750277,0.9120755299563688,0.0698574099676996,0.6108993827502962,2.6792326024246416,thermal
530800,普洱,云南,Q4,-0.1,0.7,0.7468327769366123,3.4271192947185503,2.079343634518782,4.900908874814003,0.7642434219782279,3.5178427511882937,2.1375428052240686,5.03175492191652,2.7873603064090107,1.4233225033270145,0.0742393352438826,0.7468327769366123,5.03175492191652,thermal
140600,朔州,山西,Q4,-0.1,0.7,0.5863388205186171,1.157180829387472,1.3368884557590557,1.968729744352049,0.6024124303934286,1.220609052129018,1.3963946133355831,2.073134824914069,0.6242003918705441,0.8019469856596184,0.0606486268652894,0.5863388205186171,2.073134824914069,spectral
650200,克拉玛依,新疆,Q4,-0.1,0.7,0.56533196614732,1.6876451198574394,1.1326676981788797,2.3821240582680314,0.5792774821467894,1.771074536830186,1.1883132084783643,2.501969511469393,1.218865388029141,0.6499960130139499,0.0677761442789822,0.56533196614732,2.501969511469393,thermal
532800,西双版纳,云南,Q4,-0.1,0.7,0.7464749104875379,4.57791003177237,2.103229528521,6.144434780557817,0.7629737089802635,4.69773175949022,2.1620137140088147,6.307699639673725,3.988367566074376,1.4831682917079885,0.089688871403822,0.7464749104875379,6.307699639673725,thermal
150900,乌兰察布,内蒙古,Q4,-0.1,0.7,0.5588848991775919,0.6701253684750608,1.2357034463672978,1.3977519185614184,0.5749863696658419,0.7192008924030269,1.2966398831262491,1.484705800861641,0.150812628166171,0.7223211624739008,0.0526871110439771,0.5588848991775919,1.484705800861641,spectral
610800,榆林,陕西,Q4,-0.1,0.7,0.592338052393937,1.1743955755556978,1.384995839635761,2.0546717309928964,0.6073868018067419,1.2488569917266767,1.443081767230514,2.1743918615410696,0.6563135527036171,0.8587260724955672,0.067014183947948,0.592338052393937,2.1743918615410696,spectral
652300,昌吉,新疆,Q4,-0.1,0.7,0.5480307837035348,1.9190940469146824,1.1251163653167362,2.6338861777705835,0.563042862017693,2.017612888372522,1.1777999605756315,2.767390656223889,1.4807746260879142,0.6638793213904962,0.0747059250419438,0.5480307837035348,2.767390656223889,thermal
150100,呼和浩特,内蒙古,Q4,-0.1,0.7,0.5673429317799794,0.985615586635702,1.3000300786689456,1.7758734172571122,0.5825225649460641,1.0417503480477208,1.3586406325723166,1.8697953111926235,0.4656542981069803,0.7813066863859001,0.0554913949197636,0.5673429317799794,1.8697953111926235,spectral
532900,大理,云南,Q4,-0.1,0.7,0.6946978672207393,2.571693147143605,1.945250882878624,3.9315065062239807,0.7125315163957202,2.657406224177672,1.9990934307745567,4.054197431089257,1.9658881486004067,1.3235106197663584,0.0701007955017522,0.6946978672207393,4.054197431089257,thermal
530700,丽江,云南,Q4,-0.1,0.7,0.6881865707118129,2.2670048651973307,1.8609792815690307,3.535748852689702,0.705556862597323,2.3565218641971475,1.9176959830434992,3.66348643412997,1.6624920106440788,1.240066278253105,0.0727415745209736,0.6881865707118129,3.66348643412997,thermal
530900,临沧,云南,Q4,-0.1,0.7,0.7176390206755645,3.241596607661834,2.0166817748383803,4.67253188409984,0.7353931217517262,3.332894851519064,2.074521117827599,4.802499123786719,2.626203837486596,1.384559554229137,0.0740967113954216,0.7176390206755645,4.802499123786719,thermal
650100,乌鲁木齐,新疆,Q4,-0.1,0.7,0.548717586797709,1.6510538622757975,1.139767040215678,2.3650944922142703,0.5640165250973661,1.7468420249218797,1.1921822622249725,2.4967755309209583,1.2036686733618758,0.6706953809833622,0.0736938897780111,0.548717586797709,2.4967755309209583,thermal
150200,包头,内蒙古,Q4,-0.1,0.7,0.5508658635019925,0.8785787573620807,1.2312964611969957,1.6314421516251176,0.5653769732022695,0.940116445800654,1.2900630189465856,1.7323492387186112,0.3858138983817889,0.7371460368722123,0.0585234399626174,0.5508658635019925,1.7323492387186112,spectral
620400,白银,甘肃,Q4,-0.1,0.7,0.5744178160420166,0.9961939310021428,1.3263744696360158,1.8470719260653248,0.5896445872454192,1.0804872576994915,1.379609130684334,1.9712215403192124,0.5063861960122318,0.8210374018215892,0.0693801264433746,0.5744178160420166,1.9712215403192124,spectral
622900,临夏,甘肃,Q4,-0.1,0.7,0.5752931528129057,1.0038803453899847,1.3462128526166903,1.8730984818374763,0.5904858749812059,1.0914499230246122,1.4005668555264972,2.002238900914999,0.5147280255325588,0.8404527453968542,0.0717649771726798,0.5752931528129057,2.002238900914999,spectral
513200,阿坝,四川,Q4,-0.1,0.7,0.6010132743186958,0.8736207399171692,1.5283199493420383,1.8509083404609767,0.6170076836615745,0.9382410801297868,1.5788419413623522,1.9485738284735763,0.3214167488344244,0.9690667841631416,0.0570770211573146,0.6010132743186958,1.9485738284735763,spectral
