adcode,city,province,ghi_kwh_m2,ghi_quartile,plot_order
220500,通化,吉林,1441.3762615457067,Q2,106
611000,商洛,陕西,1442.962643883927,Q2,107
330500,湖州,浙江,1443.0618285976764,Q2,108
340500,马鞍山,安徽,1443.731428946374,Q2,109
350800,龙岩,福建,1445.3089331777649,Q2,110
610300,宝鸡,陕西,1446.251023359845,Q2,111
421100,黄冈,湖北,1449.449058728613,Q2,112
340800,安庆,安徽,1449.7577737864478,Q2,113
445300,云浮,广东,1451.4337935767471,Q2,114
230600,大庆,黑龙江,1451.9391854448943,Q2,115
411500,信阳,河南,1455.704493781449,Q2,116
420600,襄阳,湖北,1455.889926754675,Q2,117
210400,抚顺,辽宁,1457.984651052384,Q2,118
441400,梅州,广东,1458.2245041178564,Q2,119
360400,九江,江西,1459.1987714955503,Q2,120
440700,江门,广东,1460.680027060729,Q2,121
620500,天水,甘肃,1460.9400825679936,Q2,122
341700,池州,安徽,1461.7506206999972,Q2,123
340300,蚌埠,安徽,1462.4036690000048,Q2,124
350300,莆田,福建,1464.0772382997304,Q2,125
220400,辽源,吉林,1465.0014248796742,Q2,126
340200,芜湖,安徽,1465.180912895955,Q2,127
360100,南昌,江西,1465.3042557661222,Q2,128
210500,本溪,辽宁,1466.2046771226703,Q2,129
320100,南京,江苏,1466.840315474105,Q2,130
340100,合肥,安徽,1467.0944169821453,Q2,131
441600,河源,广东,1467.6178934423597,Q2,132
220600,白山,吉林,1468.0922063483997,Q2,133
450900,玉林,广西,1469.8391033070334,Q2,134
330900,舟山,浙江,1471.4267999999995,Q2,135
421300,随州,湖北,1473.132105787343,Q2,136
440100,广州,广东,1474.212815500493,Q2,137
420800,荆门,湖北,1475.8246619108954,Q2,138
320500,苏州,江苏,1476.5869861364338,Q2,139
441700,阳江,广东,1477.216308771218,Q2,140
341100,滁州,安徽,1477.3220863414078,Q2,141
532600,文山,云南,1478.716117479084,Q2,142
210600,丹东,辽宁,1479.7675106557372,Q2,143
340700,铜陵,安徽,1481.5632424795622,Q2,144
220100,长春,吉林,1483.8809891835365,Q2,145
530300,曲靖,云南,1483.8820954992168,Q2,146
420100,武汉,湖北,1484.5137491253336,Q2,147
211200,铁岭,辽宁,1485.5249420412426,Q2,148
320400,常州,江苏,1487.1060269267964,Q2,149
350500,泉州,福建,1493.8026635714514,Q2,150
330400,嘉兴,浙江,1494.064577194848,Q2,151
340400,淮南,安徽,1495.742837202016,Q2,152
321100,镇江,江苏,1500.00927960364,Q2,153
220300,四平,吉林,1501.3810431172762,Q2,154
310000,上海,上海,1503.459350078447,Q2,155
450700,钦州,广西,1503.4891913971117,Q2,156
411300,南阳,河南,1504.03528908879,Q2,157
220700,松原,吉林,1506.5661919269087,Q2,158
321200,泰州,江苏,1506.7551748176522,Q2,159
341200,阜阳,安徽,1508.0481964240985,Q2,160
320600,南通,江苏,1508.5231074721387,Q2,161
320200,无锡,江苏,1508.9878898226934,Q2,162
450600,防城港,广西,1510.859263966033,Q2,163
420900,孝感,湖北,1512.4974697912785,Q2,164
152200,兴安,内蒙古,1513.5662345130204,Q2,165
321000,扬州,江苏,1513.6568021569874,Q2,166
411700,驻马店,河南,1515.2738200383887,Q2,167
440900,茂名,广东,1517.360529347399,Q2,168
410400,平顶山,河南,1519.778516580344,Q2,169
320700,连云港,江苏,1522.6976258995978,Q3,170
321300,宿迁,江苏,1524.826479333945,Q3,171
441300,惠州,广东,1526.0444692874491,Q3,172
210100,沈阳,辽宁,1526.4733864246782,Q3,173
211000,辽阳,辽宁,1526.4777011208778,Q3,174
320800,淮安,江苏,1526.7912663853415,Q3,175
210300,鞍山,辽宁,1527.77732347109,Q3,176
445200,揭阳,广东,1528.970212792166,Q3,177
513400,凉山,四川,1529.017003727207,Q3,178
341300,宿州,安徽,1529.7117042190828,Q3,179
320300,徐州,江苏,1531.7966572233831,Q3,180
610100,西安,陕西,1532.1069022150632,Q3,181
442000,中山,广东,1532.2706529557263,Q3,182
220800,白城,吉林,1532.3741477962112,Q3,183
620800,平凉,甘肃,1532.8258769601969,Q3,184
320900,盐城,江苏,1534.6543623850744,Q3,185
532500,红河,云南,1536.1483193801882,Q3,186
371700,菏泽,山东,1539.2803852419331,Q3,187
340600,淮北,安徽,1540.1085830885042,Q3,188
341600,亳州,安徽,1541.6740486531346,Q3,189
441900,东莞,广东,1542.1203335419725,Q3,190
371300,临沂,山东,1542.6086515887737,Q3,191
