adcode,city,ghi_quartile,advantage_t1_s1_i1_pct,advantage_t0_s1_i1_pct,advantage_t1_s0_i1_pct,advantage_t0_s0_i0_pct,plot_order
341700,池州,Q2,4.19448279873913,2.1457364956580127,2.680600845792447,0.7492058453823613,123
340300,蚌埠,Q2,3.531743775804164,2.0470142901720223,2.14666556392058,0.7401598626513239,124
350300,莆田,Q2,4.3378789550766905,2.5388636777626594,2.576784391126963,0.8469123152599067,125
220400,辽源,Q2,1.327076366564106,1.4245026889187828,0.5462677449705522,0.6449235950782173,126
340200,芜湖,Q2,3.896034157673767,2.0679181144881875,2.4555444381658686,0.7370917403940247,127
360100,南昌,Q2,4.431846475664414,2.2249789112938734,2.867393578569377,0.7669056215434233,128
210500,本溪,Q2,1.7897648536339572,1.542334817013602,0.8961051855727487,0.6606187173700651,129
320100,南京,Q2,3.53642935243923,2.02052871172036,2.160305858194378,0.7313168526570824,130
340100,合肥,Q2,3.7667265847000975,2.0786967894909525,2.325070266664242,0.7429483990731178,131
441600,河源,Q2,4.994123553605578,2.480319911847761,3.2531195653301204,0.8395766008461036,132
220600,白山,Q2,1.458634277711912,1.4736480746299296,0.6328731222448702,0.6518367058907071,133
450900,玉林,Q2,5.108106054509798,2.5233609093544773,3.3077274094433395,0.8508438993939382,134
330900,舟山,Q2,2.973275126994501,2.332651547458009,1.425811631998819,0.8117120374188325,135
421300,随州,Q2,3.835394283746507,2.10653714523652,2.3827856895838107,0.750549690479474,136
440100,广州,Q2,5.156007377171434,2.5307559380298272,3.378840137327832,0.8471948761217263,137
420800,荆门,Q2,3.949360813065428,2.134538162108424,2.467379965812877,0.7559138254945585,138
320500,苏州,Q2,3.654804423514113,2.1158511089395926,2.2073339013285675,0.7494700460664472,139
441700,阳江,Q2,5.126633166449324,2.661100776381642,3.271053231139409,0.8817256969130938,140
341100,滁州,Q2,3.5120667011482976,2.0241176061222,2.131592823568296,0.7299373890177208,141
532600,文山,Q2,4.243336222711269,2.5138293040799065,2.4938583567584605,0.8580949891547673,142
210600,丹东,Q2,1.8822422940078851,1.6058663037898713,0.933023066546146,0.6668500079418216,143
340700,铜陵,Q2,4.077712087959018,2.0917158738153363,2.60227612675763,0.7346871216903361,144
220100,长春,Q2,1.1401140589768044,1.3481581382655872,0.4259699993955923,0.6291204400566741,145
530300,曲靖,Q2,3.3061527308543504,2.3337918435593297,1.7238261127987542,0.8161140925182941,146
420100,武汉,Q2,4.160161543364449,2.161965031045465,2.642565995373713,0.7513429750167777,147
211200,铁岭,Q2,1.5004580305116866,1.4444961142981771,0.6917872085624222,0.6395602812881984,148
320400,常州,Q2,3.667266286102855,2.078138388556905,2.2466928759748983,0.7371229265952239,149
350500,泉州,Q2,4.5952382555001,2.497364899390786,2.841028540124801,0.8316549335032342,150
330400,嘉兴,Q2,3.818513452851669,2.109511812287934,2.350060335356452,0.7442553271634011,151
340400,淮南,Q2,3.710288425421116,2.046915166695018,2.2869045420292444,0.7284276643752419,152
321100,镇江,Q2,3.6228373403995207,2.0252417642486087,2.227831338180297,0.7213884660925318,153
220300,四平,Q2,1.362358936273167,1.3928279521195464,0.5928305030710845,0.6272773096557049,154
310000,上海,Q2,3.507644329078796,2.128548900265881,2.055672385113261,0.7490559597700175,155
450700,钦州,Q2,5.086264166337373,2.5812200757078463,3.238370168008076,0.8513534576953141,156
411300,南阳,Q2,3.884375199983081,2.0273906657114926,2.4658830580020386,0.7321565512173889,157
220700,松原,Q2,1.0712894403688278,1.2803584479240238,0.3960066345289892,0.6098105263885767,158
321200,泰州,Q2,3.506449772052456,1.9997770679862856,2.139335466325209,0.7192614089821525,159
341200,阜阳,Q2,3.6899310078284175,2.01216811522531,2.296036882880581,0.7137223113938385,160
320600,南通,Q2,3.469580994827326,2.034996166810843,2.0832057412552007,0.7276394435756117,161
320200,无锡,Q2,3.5566334869057137,2.057710855530748,2.1551859827719566,0.7257456921671901,162
450600,防城港,Q2,5.009205670421735,2.607757845553249,3.1366409337296286,0.8478013080625235,163
420900,孝感,Q2,3.96387116803647,2.0970146494973863,2.4937843777566027,0.731935011905116,164
152200,兴安,Q2,1.0736445955521037,1.1778156544191454,0.4617863839824876,0.5879757223839821,165
321000,扬州,Q2,3.527870497113184,1.998461615083702,2.156427774108161,0.7132405344178805,166
411700,驻马店,Q2,3.745962007989889,2.0260193391486325,2.337244047843212,0.7190089134892386,167
440900,茂名,Q2,5.140130310305313,2.5966582883619305,3.3083828448603247,0.8519246102160372,168
410400,平顶山,Q2,3.877205207291557,1.964935837333348,2.4955775927794965,0.7095653484921582,169
320700,连云港,Q3,3.163012679169963,1.9745980108621275,1.8420905793712803,0.7124254601354796,170
321300,宿迁,Q3,3.2898188877388934,1.9640703370646275,1.9660545007914365,0.7033274000765255,171
441300,惠州,Q3,5.1718012871821095,2.4875400454845487,3.3935915696656105,0.822969206763613,172
210100,沈阳,Q3,1.693631763163772,1.455947885332609,0.846011635452748,0.6255013180599178,173
211000,辽阳,Q3,1.8639601241256631,1.503686607273691,0.9694385284458652,0.6347704465572868,174
320800,淮安,Q3,3.376115137239233,1.9790274412436528,2.031247019855153,0.7029275553546155,175
210300,鞍山,Q3,1.8509895453163503,1.5379535728638594,0.934510048162962,0.6390939020428865,176
445200,揭阳,Q3,4.986821551735265,2.500978172607926,3.200946099312163,0.8224682015911089,177
513400,凉山,Q3,3.522538638961304,2.146618118770172,2.0613541862555484,0.7573207779012936,178
341300,宿州,Q3,3.429048830425208,1.9688805312057407,2.092476624634898,0.7040953225560198,179
320300,徐州,Q3,3.309417503209344,1.923158091807653,2.0118446504184595,0.6963020426920874,180
610100,西安,Q3,4.200144738964262,1.9662584206112,2.8092326244995025,0.7233216084931771,181
442000,中山,Q3,5.02906132969736,2.556127801776276,3.2219763190230344,0.8350868514973575,182
220800,白城,Q3,1.1097944088395817,1.2016463057399562,0.4774133839480665,0.5864305610174814,183
620800,平凉,Q3,2.4707778596202656,1.7702705084118753,1.3175795546793267,0.6917509698797453,184
320900,盐城,Q3,3.2931909247960744,1.9585008265455173,1.9663083580239824,0.7066974874865073,185
532500,红河,Q3,4.13548094409566,2.4687693447244863,2.405734713971297,0.8286314013106644,186
371700,菏泽,Q3,3.314130408422211,1.8862583373960409,2.046612203021847,0.6896886364503141,187
