context,strategy,share,before_viable,after_viable,new_viable,before_si,after_si,before_sj,after_sj,before_t,after_t,switches,before_npv_usd,after_npv_usd,private_gain_usd,direct_support_usd,admin_usd,total_public_usd,additional_discounted_mwh,new_support_usd,switch_support_usd,same_support_usd
cap,General,0.017,258,268,10,123,135,135,133,0,0,12,30615326.90499036,32713453.033659056,2098126.1286686994,2152788.764507741,107639.43822538707,2260428.2027331283,171628.79835047672,65450.00000000001,113982.55684513257,1973356.207662609
cap,New technology,0.017,258,268,10,123,99,135,169,0,0,24,30615326.90499036,31603586.622581672,988259.7175913159,1106105.0000000002,55305.250000000015,1161410.2500000002,102004.31715161506,65450.00000000001,157080.00000000003,883575.0000000002
cap,Matched gap,0.017,258,268,10,123,135,135,133,0,0,12,30615326.90499036,30615348.90499036,22.0,54684.635839042545,2734.2317919521274,57418.867630994675,171628.79835047672,36413.98337125635,18270.652467786196,0.0
cap,General,0.018000000000000002,258,268,10,123,136,135,132,0,0,13,30615326.90499036,32840230.183837563,2224903.2788472082,2282550.682141591,114127.53410707955,2396678.2162486706,173444.3156928327,69300.00000000001,130744.69755765203,2082505.9845839387
cap,New technology,0.018000000000000002,258,268,10,123,97,135,171,0,0,26,30615326.90499036,31669243.141182262,1053916.2361919042,1185030.0000000002,59251.500000000015,1244281.5000000002,97892.33205915085,69300.00000000001,180180.00000000003,935550.0000000002
cap,Matched gap,0.018000000000000002,258,268,10,123,136,135,132,0,0,13,30615326.90499036,30615349.90499036,23.0,57670.40329438212,2883.520164719106,60553.92345910123,173444.3156928327,36413.98337125635,21256.419923125773,0.0
cap,General,0.019,258,268,10,123,136,135,132,0,0,13,30615326.90499036,32967038.55506765,2351711.650077296,2409359.053371678,120467.95266858391,2529827.006040262,173444.3156928327,73150.0,138008.29186641044,2198200.761505268
cap,New technology,0.019,258,268,10,123,95,135,173,0,0,28,30615326.90499036,31735442.427234553,1120115.5222441969,1265495.0,63274.75,1328769.75,93755.41615297925,73150.0,204820.0,987525.0
cap,Matched gap,0.019,258,268,10,123,136,135,132,0,0,13,30615326.90499036,30615349.90499036,23.0,57670.40329438212,2883.520164719106,60553.92345910123,173444.3156928327,36413.98337125635,21256.419923125773,0.0
cap,General,0.02,258,269,11,123,138,135,131,0,0,15,30615326.90499036,33094112.366900735,2478785.461910383,2550816.9455517936,127540.84727758968,2678357.792829383,191896.3593317938,84700.0,167621.40712519494,2298495.5384265985
cap,New technology,0.02,258,269,11,123,92,135,177,0,0,31,30615326.90499036,31802477.0843639,1187150.1793735428,1362900.0,68145.0,1431045.0,102357.12058515241,84700.0,238700.0,1039500.0
cap,Matched gap,0.02,258,269,11,123,138,135,131,0,0,15,30615326.90499036,30615352.90499036,26.0,72057.48364141045,3602.8741820705227,75660.35782348098,191896.3593317938,43984.680547857955,28072.803093552495,0.0
cap,General,0.021,258,269,11,123,139,135,130,0,0,16,30615326.90499036,33221716.49448027,2606389.58948991,2682006.2913281466,134100.31456640732,2816106.605894554,193696.86540561257,88935.00000000001,187735.9759802183,2405335.3153479286
cap,New technology,0.021,258,269,11,123,90,135,179,0,0,33,30615326.90499036,31871060.423833095,1255733.5188427353,1447215.0000000002,72360.75000000001,1519575.7500000002,98183.55601440332,88935.00000000001,266805.00000000006,1091475.0000000002
