case,context,strategy,share,admin_fraction,before_viable,after_viable,after_si,after_sj,after_t,direct_support_usd,total_public_usd,private_gain_usd,additional_discounted_mwh
Discount8%,cap,Matched gap,0.3,0.05,176,307,3,304,0,6510690.564168076,6836225.09237648,134.0,1550626.1647464351
Discount8%,cap,Matched gap,0.3,0.1,176,307,3,304,0,6510690.564168076,7161759.620584885,134.0,1550626.1647464351
Discount8%,area,General,0.1,0.0,333,335,251,33,51,27244577.59733416,27244577.59733416,25625806.523662254,387556.77111248905
Discount8%,area,General,0.1,0.05,333,335,251,33,51,27244577.59733416,28606806.47720087,25625806.523662254,387556.77111248905
Discount8%,area,General,0.1,0.1,333,335,251,33,51,27244577.59733416,29969035.35706758,25625806.523662254,387556.77111248905
Discount8%,area,New technology,0.1,0.0,333,335,0,123,212,29202510.671237446,29202510.671237446,19185941.856237166,670317.6391500667
Discount8%,area,New technology,0.1,0.05,333,335,0,123,212,29202510.671237446,30662636.20479932,19185941.856237166,670317.6391500667
Discount8%,area,New technology,0.1,0.1,333,335,0,123,212,29202510.671237446,32122761.738361195,19185941.856237166,670317.6391500667
Discount8%,area,Matched gap,0.1,0.0,333,335,251,33,51,1618874.073671909,1618874.073671909,103.0,387556.77111248905
Discount8%,area,Matched gap,0.1,0.05,333,335,251,33,51,1618874.073671909,1699817.7773555047,103.0,387556.77111248905
Discount8%,area,Matched gap,0.1,0.1,333,335,251,33,51,1618874.073671909,1780761.4810391,103.0,387556.77111248905
Discount8%,area,General,0.2,0.0,333,337,177,5,155,62787367.23348974,62787367.23348974,55015350.800546154,886280.3139530022
Discount8%,area,General,0.2,0.05,333,337,177,5,155,62787367.23348974,65926735.595164225,55015350.800546154,886280.3139530022
Discount8%,area,General,0.2,0.1,333,337,177,5,155,62787367.23348974,69066103.95683871,55015350.800546154,886280.3139530022
Discount8%,area,New technology,0.2,0.0,333,337,0,52,285,67573213.4054109,67573213.4054109,50538573.75259182,1171716.1323227747
Discount8%,area,New technology,0.2,0.05,333,337,0,52,285,67573213.4054109,70951874.07568145,50538573.75259182,1171716.1323227747
Discount8%,area,New technology,0.2,0.1,333,337,0,52,285,67573213.4054109,74330534.745952,50538573.75259182,1171716.1323227747
Discount8%,area,Matched gap,0.2,0.0,333,337,177,5,155,7772255.432943588,7772255.432943588,239.00000000000728,886280.3139530022
Discount8%,area,Matched gap,0.2,0.05,333,337,177,5,155,7772255.432943588,8160868.204590768,239.00000000000728,886280.3139530022
Discount8%,area,Matched gap,0.2,0.1,333,337,177,5,155,7772255.432943588,8549480.976237947,239.00000000000728,886280.3139530022
Discount8%,area,General,0.3,0.0,333,337,107,0,230,101370136.25857186,101370136.25857186,87650083.18081665,1153671.9063230925
Discount8%,area,General,0.3,0.05,333,337,107,0,230,101370136.25857186,106438643.07150047,87650083.18081665,1153671.9063230925
Discount8%,area,General,0.3,0.1,333,337,107,0,230,101370136.25857186,111507149.88442905,87650083.18081665,1153671.9063230925
Discount8%,area,New technology,0.3,0.0,333,337,0,15,322,108183366.92519107,108183366.92519107,85386301.640048,1386850.4806484096
Discount8%,area,New technology,0.3,0.05,333,337,0,15,322,108183366.92519107,113592535.27145064,85386301.640048,1386850.4806484096
Discount8%,area,New technology,0.3,0.1,333,337,0,15,322,108183366.92519107,119001703.61771019,85386301.640048,1386850.4806484096
Discount8%,area,Matched gap,0.3,0.0,333,337,107,0,230,13720367.077755213,13720367.077755213,314.00000000000773,1153671.9063230925
Discount8%,area,Matched gap,0.3,0.05,333,337,107,0,230,13720367.077755213,14406385.431642974,314.00000000000773,1153671.9063230925
Discount8%,area,Matched gap,0.3,0.1,333,337,107,0,230,13720367.077755213,15092403.785530735,314.00000000000773,1153671.9063230925
