sj_degradation,relative_sj_yield_change,replacement_rule,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
0.01505,-0.04,half,314,336,22,119,-92637.43814998261,-181236.33103593084,260671.22101372867,-353308.65916371136,454684.53427820286,-635920.8653141337,27165600.0,23871316.25439114,0,336,0,True,True
0.01505,-0.04,salvage,330,337,7,3,66218.89042266714,114950.35393526265,76706.71285951314,-10487.822436845985,133798.26080111347,-18847.90686585082,27246450.0,25711477.968256533,0,337,0,False,False
0.01505,-0.04,stop_option,330,337,7,78,-294669.7216278423,-717300.459573183,70104.80573573793,-364774.5273635802,112842.35211717991,-830142.8116903629,27246450.0,25002780.432300743,0,337,0,True,True
0.01505,-0.0375,full,298,323,25,243,-230347.82083241676,-439758.1438729288,317198.4959716485,-547546.3168040653,553284.1326086378,-993042.2764815665,22022846.270853125,6471136.978803754,55,260,8,True,True
0.01505,-0.0375,half,317,336,19,112,-105169.83868662419,-202006.80708698469,223975.59701841412,-329145.43570503837,390676.9593665141,-592683.7664534987,27165600.0,24118467.803192,0,336,0,True,True
0.01505,-0.0375,salvage,330,337,7,3,66577.96622821642,115576.68397193421,76906.46992425145,-10328.503696035019,134146.6937719497,-18570.009800015498,27246450.0,25725841.000478506,0,337,0,False,False
0.01505,-0.0375,stop_option,330,337,7,62,-220460.97906280018,-550400.9674225801,70287.37033400808,-290748.3493968083,113136.21240915173,-663537.1798317318,27246450.0,25134906.168418027,0,337,0,True,True
0.01505,-0.035,full,298,323,25,250,-243951.6753925472,-462633.81706325326,318022.3881689774,-561974.0635615245,554721.2342517771,-1017355.0513150303,22366892.35156992,6909148.74174018,48,272,3,True,True
0.01505,-0.035,half,317,336,19,106,-83384.51862945168,-163053.1820926494,224557.3518158646,-307941.87044531625,391691.704715518,-554744.8868081676,27165600.0,24352039.584187232,0,336,0,True,True
0.01505,-0.035,salvage,330,337,7,2,70262.77346859724,122183.85525458056,77106.22698898976,-6843.453520392526,134495.1267427859,-12311.27148820537,27246450.0,25739174.00250536,0,337,0,False,False
0.01505,-0.035,stop_option,330,337,7,57,-195404.14353585086,-495109.16331736144,70469.93493227822,-265874.0784681291,113430.07270112356,-608539.2360184849,27246450.0,25250859.59996962,0,337,0,True,True
0.01505,-0.0325,full,298,324,26,262,-256620.16547573547,-485952.6852283933,331060.9826018846,-587681.1480776201,577464.2406117178,-1063416.925840111,23329180.78385664,7373368.500322372,36,287,1,True,True
0.01505,-0.0325,half,317,336,19,99,-59280.71971490311,-119892.1129240343,225139.106613315,-284419.8263282181,392706.4500645219,-512598.5629885563,27165600.0,24572043.682595555,0,336,0,True,True
0.01505,-0.0325,salvage,330,337,7,1,73907.49473668258,128729.29463489309,77305.98405372808,-3398.4893170455034,134843.55971362218,-6114.265078729091,27246450.0,25750903.565640394,0,337,0,False,False
0.01505,-0.0325,stop_option,330,337,7,49,-157338.95958402212,-409687.0469628371,70652.49953054839,-227991.4591145705,113723.9329930954,-523410.9799559325,27246450.0,25355354.974800576,0,337,0,True,True
