amplitude,context,om,policy,adcode,baseline_choice,choice_certified,viability_certified,nonviability_certified
0.01,cap,proportional,General20,330100,0,False,True,False
0.01,cap,proportional,General20,330200,0,True,True,False
0.01,cap,proportional,General20,330300,0,True,True,False
0.01,cap,proportional,General20,330400,0,True,True,False
0.01,cap,proportional,General20,330500,0,True,True,False
0.01,cap,proportional,General20,330600,0,False,True,False
0.01,cap,proportional,General20,330700,0,False,True,False
0.01,cap,proportional,General20,330800,0,False,True,False
0.01,cap,proportional,General20,330900,0,True,True,False
0.01,cap,proportional,General20,331000,0,False,True,False
0.01,cap,proportional,General20,331100,0,False,True,False
0.01,cap,proportional,General20,340100,0,True,True,False
0.01,cap,proportional,General20,340200,0,True,True,False
0.01,cap,proportional,General20,340300,0,True,True,False
0.01,cap,proportional,General20,340400,0,True,True,False
0.01,cap,proportional,General20,340500,0,True,True,False
0.01,cap,proportional,General20,340600,0,True,True,False
0.01,cap,proportional,General20,340700,0,True,True,False
0.01,cap,proportional,General20,340800,0,True,True,False
0.01,cap,proportional,General20,341000,0,False,True,False
0.01,cap,proportional,General20,341100,0,True,True,False
0.01,cap,proportional,General20,341200,0,True,True,False
0.01,cap,proportional,General20,341300,0,True,True,False
0.01,cap,proportional,General20,341500,0,True,True,False
0.01,cap,proportional,General20,341600,0,True,True,False
0.01,cap,proportional,General20,341700,0,True,True,False
0.01,cap,proportional,General20,341800,0,True,True,False
0.01,cap,proportional,General20,350100,0,False,True,False
0.01,cap,proportional,General20,350200,0,True,True,False
0.01,cap,proportional,General20,350300,0,True,True,False
0.01,cap,proportional,General20,350400,0,False,True,False
0.01,cap,proportional,General20,350500,0,True,True,False
0.01,cap,proportional,General20,350600,0,False,True,False
0.01,cap,proportional,General20,350700,0,False,True,False
0.01,cap,proportional,General20,350800,0,False,True,False
0.01,cap,proportional,General20,350900,0,False,True,False
0.01,cap,proportional,General20,360100,0,True,True,False
0.01,cap,proportional,General20,360200,0,False,True,False
0.01,cap,proportional,General20,360300,0,False,True,False
0.01,cap,proportional,General20,360400,0,True,True,False
0.01,cap,proportional,General20,360500,0,False,True,False
0.01,cap,proportional,General20,360600,0,False,True,False
0.01,cap,proportional,General20,360700,0,False,True,False
0.01,cap,proportional,General20,360800,0,False,True,False
0.01,cap,proportional,General20,360900,0,False,True,False
0.01,cap,proportional,General20,361000,0,False,True,False
0.01,cap,proportional,General20,361100,0,False,True,False
0.01,cap,proportional,General20,370100,0,True,True,False
0.01,cap,proportional,General20,370200,0,True,True,False
0.01,cap,proportional,General20,370300,0,True,True,False
0.01,cap,proportional,General20,370400,0,True,True,False
0.01,cap,proportional,General20,370500,0,True,True,False
0.01,cap,proportional,General20,370600,0,True,True,False
0.01,cap,proportional,General20,370700,0,True,True,False
0.01,cap,proportional,General20,370800,0,True,True,False
0.01,cap,proportional,General20,370900,0,True,True,False
0.01,cap,proportional,General20,371000,0,True,True,False
0.01,cap,proportional,General20,371100,0,True,True,False
0.01,cap,proportional,General20,371300,0,True,True,False
0.01,cap,proportional,General20,371400,0,True,True,False
0.01,cap,proportional,General20,371500,0,True,True,False
0.01,cap,proportional,General20,371600,0,True,True,False
0.01,cap,proportional,General20,371700,0,True,True,False
0.01,cap,proportional,General20,410100,0,True,True,False
0.01,cap,proportional,General20,410200,0,True,True,False
0.01,cap,proportional,General20,410300,0,True,True,False
0.01,cap,proportional,General20,410400,0,True,True,False
0.01,cap,proportional,General20,410500,0,True,True,False
0.01,cap,proportional,General20,410600,0,True,True,False
0.01,cap,proportional,General20,410700,0,True,True,False
0.01,cap,proportional,General20,410800,0,True,True,False
0.01,cap,proportional,General20,410900,0,True,True,False
0.01,cap,proportional,General20,411000,0,True,True,False
0.01,cap,proportional,General20,411100,0,True,True,False
0.01,cap,proportional,General20,411200,0,True,True,False
0.01,cap,proportional,General20,411300,0,True,True,False
0.01,cap,proportional,General20,411400,0,True,True,False
0.01,cap,proportional,General20,411500,0,True,True,False
0.01,cap,proportional,General20,411600,0,True,True,False
0.01,cap,proportional,General20,411700,0,True,True,False
0.01,cap,proportional,General20,420100,0,True,True,False
0.01,cap,proportional,General20,420200,0,True,True,False
0.01,cap,proportional,General20,420300,0,True,True,False
0.01,cap,proportional,General20,420500,0,False,True,False
0.01,cap,proportional,General20,420600,0,True,True,False
0.01,cap,proportional,General20,420700,0,True,True,False
0.01,cap,proportional,General20,420800,0,True,True,False
0.01,cap,proportional,General20,420900,0,True,True,False
0.01,cap,proportional,General20,421000,0,True,True,False
0.01,cap,proportional,General20,421100,0,True,True,False
0.01,cap,proportional,General20,421200,0,False,True,False
