tcell_c,airmass,predicted_advantage_pct
8.5,1.24,-0.2385425881472601
8.5,1.26,-0.27368472218725187
8.5,1.28,-0.30882685622724365
8.5,1.3,-0.34396899026723543
8.5,1.32,-0.3791111243072272
8.5,1.34,-0.414253258347219
8.5,1.36,-0.44939539238721077
8.5,1.3800000000000001,-0.48453752642720244
8.5,1.4,-0.5196796604671938
8.5,1.42,-0.5548217945071856
8.5,1.44,-0.5899639285471773
8.5,1.46,-0.625106062587169
8.5,1.48,-0.6602481966271608
8.5,1.5,-0.6953903306671526
8.5,1.52,-0.7305324647071443
8.5,1.54,-0.7656745987471361
8.5,1.56,-0.8008167327871278
8.5,1.58,-0.8359588668271196
8.5,1.6,-0.8711010008671114
8.5,1.62,-0.9062431349071032
8.5,1.6400000000000001,-0.941385268947095
8.5,1.6600000000000001,-0.9765274029870867
8.5,1.6800000000000002,-1.0116695370270785
8.5,1.7,-1.0468116710670698
8.5,1.72,-1.0819538051070616
8.5,1.74,-1.1170959391470534
8.5,1.76,-1.1522380731870452
8.5,1.78,-1.187380207227037
8.5,1.7999999999999998,-1.2225223412670283
8.5,1.8199999999999998,-1.25766447530702
8.5,1.8399999999999999,-1.2928066093470119
8.5,1.8599999999999999,-1.3279487433870036
8.5,1.88,-1.3630908774269952
8.5,1.9,-1.398233011466987
8.5,1.92,-1.4333751455069788
8.5,1.94,-1.4685172795469705
8.5,1.96,-1.5036594135869623
8.5,1.98,-1.538801547626954
8.5,2.0,-1.5739436816669459
8.5,2.02,-1.6090858157069376
8.5,2.04,-1.6442279497469294
8.5,2.06,-1.679370083786921
8.5,2.08,-1.714512217826913
8.5,2.1,-1.7496543518669045
8.5,2.12,-1.7847964859068965
8.5,2.1399999999999997,-1.8199386199468874
8.5,2.16,-1.85508075398688
8.5,2.1799999999999997,-1.8902228880268708
8.5,2.2,-1.9253650220668634
8.5,2.2199999999999998,-1.9605071561068543
8.5,2.24,-1.9956492901468472
8.5,2.26,-2.030791424186838
8.5,2.28,-2.06593355822683
8.5,2.3,-2.1010756922668214
8.5,2.32,-2.1362178263068134
8.5,2.34,-2.171359960346805
8.5,2.36,-2.2065020943867966
8.5,2.38,-2.2416442284267886
8.5,2.4,-2.2767863624667806
8.5,2.42,-2.311928496506772
8.5,2.44,-2.3470706305467637
8.5,2.46,-2.3822127645867557
8.5,2.48,-2.4173548986267477
8.5,2.5,-2.452497032666739
8.5,2.5199999999999996,-2.48763916670673
8.5,2.54,-2.522781300746723
8.5,2.5599999999999996,-2.557923434786714
8.5,2.58,-2.593065568826706
8.5,2.5999999999999996,-2.628207702866697
8.5,2.62,-2.66334983690669
8.5,2.6399999999999997,-2.6984919709466806
8.5,2.66,-2.733634104986673
8.5,2.6799999999999997,-2.768776239026664
8.5,2.6999999999999997,-2.803918373066656
8.5,2.7199999999999998,-2.8390605071066477
8.5,2.7399999999999998,-2.8742026411466393
8.5,2.76,-2.9093447751866313
8.5,2.78,-2.9444869092266233
8.5,2.8,-2.979629043266615
9.0,1.1,0.10020800623070243
9.0,1.12,0.06506587219071087
9.0,1.1400000000000001,0.029923738150719095
9.0,1.1600000000000001,-0.005218395889272684
9.0,1.1800000000000002,-0.04036052992926446
9.0,1.2000000000000002,-0.07550266396925624
9.0,1.22,-0.11064479800924769
9.0,1.24,-0.14578693204923937
9.0,1.26,-0.18092906608923115
9.0,1.28,-0.21607120012922293
9.0,1.3,-0.2512133341692147
9.0,1.32,-0.2863554682092065
9.0,1.34,-0.32149760224919827
9.0,1.36,-0.35663973628919005
9.0,1.3800000000000001,-0.3917818703291817
9.0,1.4,-0.42692400436917316
9.0,1.42,-0.46206613840916494
9.0,1.44,-0.4972082724491566
9.0,1.46,-0.5323504064891483
9.0,1.48,-0.5674925405291401
9.0,1.5,-0.6026346745691319
9.0,1.52,-0.6377768086091236
9.0,1.54,-0.6729189426491153
9.0,1.56,-0.7080610766891071
9.0,1.58,-0.7432032107290989
9.0,1.6,-0.7783453447690907
9.0,1.62,-0.8134874788090825
