adcode,city,city_fullname,province,province_fullname,province_code,admin_type,lat,lon,altitude_m,ghi_kwh_m2,tair_mean,csi_yield_kwh_per_kwp,perovskite_yield_kwh_per_kwp,tandem_yield_kwh_per_kwp,perovskite_advantage_pct,tandem_advantage_pct,csi_yield_kwh_per_m2,perovskite_yield_kwh_per_m2,tandem_yield_kwh_per_m2,csi_PR,perovskite_PR,tandem_PR
141000,临汾,临汾市,山西,山西省,140000,prefecture_level_city,36.088705,111.513093,451.0,1608.2754499999996,13.17695205479452,1542.6890868306482,1597.2771870494778,1533.0807320558924,3.5385030389355476,-0.6228315774564397,339.39237005180934,308.08848797534193,434.04496487164914,0.8275368106237252,0.856819225815956,0.8223826500520847
141100,吕梁,吕梁市,山西,山西省,140000,prefecture_level_city,37.518219,111.138178,945.0,1664.5435699999998,10.654950913242008,1640.6311596127573,1683.1421771572718,1626.6089674219786,2.591138007798688,-0.8546827913525901,360.93967500980176,324.6504317549274,460.5246268914965,0.8360218844316586,0.8576843652326821,0.8288765492534795
150100,呼和浩特,呼和浩特市,内蒙古,内蒙古自治区,150000,prefecture_level_city,40.84,111.75,1064.0,1685.8092,7.700042237442922,1761.3345068283472,1794.503149312027,1743.1163515961102,1.8831540718183604,-1.0343381771951154,387.4944717179622,346.13013096355326,493.5101327515396,0.8454232499467488,0.8613438723022201,0.8366787145136658
150200,包头,包头市,内蒙古,内蒙古自治区,150000,prefecture_level_city,40.62021,109.947464,1058.0,1683.2737999999997,8.67024200913242,1725.4579739513115,1759.8211595017294,1708.711142296261,1.991539989335478,-0.970573141036879,379.601616555945,339.440545782431,483.7693490147765,0.8430336360856335,0.8598229880718278,0.8348513780438798
150300,乌海,乌海市,内蒙古,内蒙古自治区,150000,prefecture_level_city,39.654105,106.78939,1089.0,1794.17794,11.011400684931507,1820.2830793108008,1854.175692962183,1802.7283855167564,1.8619419164306317,-0.9643936151233712,400.4631871232765,357.6399827888204,510.38745866660497,0.8406264187927592,0.8562783944448511,0.8325194712828814
150400,赤峰,赤峰市,内蒙古,内蒙古自治区,150000,prefecture_level_city,42.254941,118.881442,584.0,1588.1680499999998,7.385517123287671,1714.5033136016705,1741.9251591349162,1696.4168490908178,1.5994046389820271,-1.0549098603290674,377.1915858045021,335.98870177030784,480.28859555483166,0.8503590093624205,0.8639596908061646,0.8413884883244598
150500,通辽,通辽市,内蒙古,内蒙古自治区,150000,prefecture_level_city,43.651204,122.237756,177.0,1630.5836499999998,9.160171232876714,1762.1633571020143,1790.8566815258469,1744.9776085138158,1.6283010487189165,-0.9752642125337108,387.6768191923816,345.4267873261409,494.03709077571307,0.8485205322412009,0.8623370009662796,0.8402452151542519
150600,鄂尔多斯,鄂尔多斯市,内蒙古,内蒙古自治区,150000,prefecture_level_city,39.607727,109.776762,1304.0,1707.556,8.936215753424657,1770.7193483482838,1797.5369973151442,1750.787257904259,1.514505897949081,-1.125649327919609,389.5591415423632,346.7153103247848,495.6819154825045,0.8478086471216754,0.8606487590856554,0.8382652947833059
150700,呼伦贝尔,呼伦贝尔市,内蒙古,内蒙古自治区,150000,prefecture_level_city,49.164607,119.771145,613.0,1431.2488999999998,0.082493150684931,1630.2028696382663,1635.378223290632,1610.383163387159,0.3174668471485509,-1.2157815827857799,358.64544600394214,315.4375509563982,455.9307862704204,0.8628202340567811,0.8655594022504008,0.8523302245585694
150800,巴彦淖尔,巴彦淖尔市,内蒙古,内蒙古自治区,150000,prefecture_level_city,40.74154,107.382173,1041.0,1797.3516000000002,9.964132420091325,1868.864713814931,1906.1318857120727,1853.1200005458224,1.9941075253685936,-0.8424747469798821,411.1511709925482,367.6614774893349,524.6543047092041,0.8390308282410656,0.855762005127183,0.8319622053937584
150900,乌兰察布,乌兰察布市,内蒙古,内蒙古自治区,150000,prefecture_level_city,40.992758,113.12496,1380.0,1660.77195,4.643884703196347,1773.8660927228286,1792.8652132914303,1751.64107922063,1.0710572036155552,-1.2529138244073423,390.25142687732847,345.8142000555822,495.9236488990963,0.8534973126350711,0.8626387570847143,0.8428037268141212
152200,兴安,兴安盟,内蒙古,内蒙古自治区,150000,league,46.080431,122.031649,275.0,1547.25485,6.02448401826484,1744.378349325778,1764.5875078977651,1725.8177844023314,1.1585306925987915,-1.064021743368937,383.764108593665,340.35989596310367,488.6125720210719,0.8541780290861817,0.8640739437225804,0.8450893891296244
152500,锡林郭勒,锡林郭勒盟,内蒙古,内蒙古自治区,150000,league,43.931027,116.04055,989.0,1629.71925,3.380826484018264,1776.6722270333676,1791.1130135354183,1753.2468710977437,0.8127996983531061,-1.3184962076397633,390.8687778279949,345.47622955313125,496.3782798029485,0.8597640439611008,0.8667522035169651,0.8484280876468234
152900,阿拉善,阿拉善盟,内蒙古,内蒙古自治区,150000,league,38.850994,105.724869,1662.0,1790.09112,6.236238584474886,1817.0166018441048,1844.583267423783,1797.5448232041958,1.517138894146619,-1.0716346025758328,399.7445604482019,355.7897617350778,508.91989138536456,0.84200997107269,0.8547844318364264,0.8329867008655363
210100,沈阳,沈阳市,辽宁,辽宁省,210000,prefecture_level_city,41.8,123.43,50.0,1523.0938399999998,9.409913242009132,1617.9671827629418,1648.4781972235069,1601.9296016074147,1.8857622568377863,-0.9912179509191432,355.95358877666393,317.964320382656,453.537418557287,0.8487479321390858,0.8647533002990558,0.8403349902776681
210200,大连,大连市,辽宁,辽宁省,210000,prefecture_level_city,38.913185,121.609843,31.0,1616.30045,11.963996575342469,1657.4277879162698,1683.5035450334103,1634.9841521206577,1.5732665584135663,-1.3541245029943916,364.6349416305828,324.72013367233103,462.89580452899565,0.8558966116974861,0.8693621468639177,0.8443067059581917
210300,鞍山,鞍山市,辽宁,辽宁省,210000,prefecture_level_city,41.10632,122.988684,50.0,1532.9592000000002,9.006382420091324,1625.9497966273868,1655.2665450790323,1609.6397991374213,1.8030537297311078,-1.0031058476587917,357.7097678161024,319.27368098932874,455.7203253971488,0.8484184635213594,0.8637159042716087,0.8399079283011598
