elapsed_days,ambient_temperature_c,tandem_cell_temperature_c,irradiance_suns,jsc_a,voc_v,fill_factor,power_density_w_m2,pce_pct,day_cluster,model_lumped_power_w,model_matched_power_w,measured_relative_efficiency,model_relative_efficiency,sensitivity_relative_efficiency
4.99306,35.2,51.4,0.83518,0.01939,1.66484,0.67471,18.65251,22.33339,4,5.329127945087992,5.273892117361297,0.9780015887376542,1.001122175556076,0.9998988479724863
5.0,34.1,49.5,0.84259,0.01976,1.67151,0.67004,18.95638,22.49767,5,5.408646129119737,5.35661477775525,1.0508817226903022,1.0073412649703606,1.0020577022540442
5.00694,34.5,47.8,0.80029,0.01885,1.67226,0.66629,17.98558,22.47397,5,5.172150164711649,5.125670902807627,1.0497746793019087,1.0148593064910019,1.006317608255782
5.01389,34.4,46.8,0.79259,0.01873,1.67334,0.6622,17.77364,22.42467,5,5.140110212301861,5.0959036704109355,1.047471842211284,1.0187676161896144,1.0095876725951172
5.02083,33.9,46.1,0.71154,0.01675,1.66918,0.66185,15.84667,22.27102,5,4.634672947789317,4.595842650587791,1.0402947444633235,1.023454033766281,1.0074710952533954
5.02778,33.8,45.5,0.71268,0.01702,1.67189,0.66462,16.1957,22.72513,5,4.650953635787998,4.613089746481109,1.0615065365773908,1.0256515548842071,1.009734513990026
5.03472,34.0,44.2,0.44402,0.01162,1.6443,0.67347,11.02444,24.82886,5,2.9178983907298504,2.8951887167928523,1.1597732195927994,1.0331820571873422,0.9877424242979209
5.04167,33.1,40.2,0.38775,0.01039,1.64139,0.64083,9.35621,24.12955,5,2.5794302685615933,2.5634546303996513,1.1271079659245504,1.0475538063883059,0.993103348703062
5.04861,32.8,37.7,0.20655,0.00655,1.60191,0.61543,5.5301,26.77327,5,1.372790889040592,1.3655888883929324,1.25059795523948,1.0476043312338845,0.9551173687140451
5.05556,33.2,40.0,0.57393,0.01479,1.68399,0.72342,15.43256,26.88918,5,3.821313162766161,3.7982727654491963,1.2560121914904798,1.0486480012064712,1.0186075289420706
5.0625,33.3,39.0,0.36396,0.01053,1.63783,0.60259,8.904,24.46423,5,2.4293200293605857,2.415434833602018,1.1427411001535615,1.0515845070033238,0.9930186401131313
5.06944,33.9,43.6,0.65242,0.01615,1.67511,0.68329,15.83275,24.26765,5,4.289198176783096,4.25735395824245,1.133558712419789,1.033986821320844,1.0123800749474925
5.08333,32.9,38.9,0.22165,0.00699,1.59798,0.6061,5.79867,26.16114,5,1.4693934982526307,1.4609672234880429,1.2220049396556254,1.0444201627894303,0.9563889332310198
5.09028,33.9,41.5,0.5443,0.01314,1.6624,0.65851,12.32442,22.64262,5,3.6078397970864517,3.583871836503595,1.0576524374222707,1.043317870721404,1.0101049937162407
5.09722,33.3,41.3,0.50883,0.01211,1.65677,0.65295,11.21993,22.05036,5,3.37558465136382,3.35337204979192,1.02998756327839,1.0442669701441125,1.0068086650678072
5.10417,33.4,40.3,0.28048,0.01057,1.64749,0.65097,9.7096,34.6173,5,1.8584262412036692,1.846749182825667,1.616998020634448,1.0432983656916557,0.9694074206715726
5.125,32.5,36.1,0.3651,0.00835,1.63786,0.63506,7.43993,20.37778,5,2.4596819761526407,2.448529149005966,0.9518601949003603,1.0626639698987725,1.0036756422709343
5.13194,31.9,36.9,0.32493,0.00739,1.62561,0.62771,6.45626,19.86976,5,2.18099757534859,2.1703671784047835,0.9281302294078836,1.0583904509388014,0.9924411794839831
5.78472,25.2,25.2,0.23875,0.00508,1.55351,0.6345,4.28978,17.96796,5,1.6559262852598882,1.6557896630782707,0.8392958363257371,1.0989154948908333,1.0109383729423655
5.79167,25.7,27.5,0.28433,0.00609,1.57144,0.65189,5.34175,18.78715,5,1.962870369994069,1.9608518794158807,0.8775607676902147,1.0927595585837069,1.0162241596334505
5.79861,26.6,29.0,0.32992,0.00708,1.58597,0.65731,6.3226,19.16433,5,2.270800652971435,2.267075646580895,0.895179106307695,1.0888294988439233,1.021948732485136
5.80556,27.4,31.2,0.35427,0.00811,1.60047,0.66767,7.42004,20.94441,5,2.4232773064091933,2.417129098232154,0.9783278740212651,1.0811052579839828,1.0191887143923088
5.82639,28.3,37.1,0.39145,0.01104,1.61992,0.68012,10.42,26.61878,5,2.63016683043468,2.617195059135496,1.2433816205106647,1.0594056984602016,1.0049307377159271
