case,context,adcode,technology,npv_usd,discounted_mwh,construction_usd
om=0.01,cap,130800,Si,207808.62758782803,21132.3719668827,558738.0237506496
om=0.01,cap,130900,Si,203257.65812292843,21018.59773026021,558738.0237506496
om=0.01,cap,131000,Si,202621.47066595184,21002.693043835796,558738.0237506496
om=0.01,cap,131100,Si,188099.0773105584,20639.63320995096,558738.0237506496
om=0.01,cap,140100,Si,203309.9304669688,21019.90453886122,558738.0237506496
om=0.01,cap,140200,Si,249454.22471346307,22173.511895023577,558738.0237506496
om=0.01,cap,140300,Si,190649.87976347742,20703.403271273935,558738.0237506496
om=0.01,cap,140400,Si,189301.10233423556,20669.683835542888,558738.0237506496
om=0.01,cap,140500,Si,165837.47143700634,20083.09306311216,558738.0237506496
om=0.01,cap,140600,Si,259197.1205221049,22417.08429023962,558738.0237506496
om=0.01,cap,140700,Si,195395.41874257883,20822.04174575147,558738.0237506496
om=0.01,cap,140800,Si,175704.45225176148,20329.767583481036,558738.0237506496
om=0.01,cap,140900,Si,231964.94060401857,21736.279792287467,558738.0237506496
om=0.01,cap,141000,Si,180877.6254957338,20459.096914580346,558738.0237506496
om=0.01,cap,141100,Si,217881.29913492172,21384.188755560044,558738.0237506496
om=0.01,cap,150100,Si,239072.9168256506,21913.979197828266,558738.0237506496
om=0.01,cap,150200,Si,252589.6746979746,22251.898144636365,558738.0237506496
om=0.01,cap,150300,Si,264326.28100527986,22545.313302318995,558738.0237506496
om=0.01,cap,150400,Si,227470.99886284434,21623.93124875811,558738.0237506496
om=0.01,cap,150500,Si,227403.77508798882,21622.25065438672,558738.0237506496
om=0.01,cap,150600,Si,246608.51579554754,22102.369172075683,558738.0237506496
om=0.01,cap,150700,Si,161367.6682973271,19971.347984620177,558738.0237506496
om=0.01,cap,150800,Si,283254.0993780115,23018.508761637288,558738.0237506496
om=0.01,cap,150900,Si,251488.33571535442,22224.36467007086,558738.0237506496
om=0.01,cap,152200,Si,216059.29559468848,21338.638667054212,558738.0237506496
om=0.01,cap,152500,Si,245433.47856996252,22072.993241436063,558738.0237506496
om=0.01,cap,152900,Si,300115.2732465953,23440.03810835188,558738.0237506496
om=0.01,cap,210100,Si,205823.0111229641,21082.731555261103,558738.0237506496
om=0.01,cap,210200,Si,214030.41601092287,21287.91667746007,558738.0237506496
om=0.01,cap,210300,Si,193864.57007144555,20783.77052897314,558738.0237506496
om=0.01,cap,210400,Si,164914.45725877178,20060.017708656294,558738.0237506496
om=0.01,cap,210500,Si,163605.85773523338,20027.302720567834,558738.0237506496
om=0.01,cap,210600,Si,164644.05387727072,20053.257624118767,558738.0237506496
om=0.01,cap,210700,Si,217251.78447806524,21368.450889138632,558738.0237506496
om=0.01,cap,210800,Si,213392.44926798018,21271.967508886504,558738.0237506496
om=0.01,cap,210900,Si,221763.23604857863,21481.237178401465,558738.0237506496
om=0.01,cap,211000,Si,195296.02466735707,20819.556893870926,558738.0237506496
om=0.01,cap,211100,Si,217672.75131351175,21378.975060024793,558738.0237506496
om=0.01,cap,211200,Si,186465.5100263028,20598.79402784457,558738.0237506496
om=0.01,cap,211300,Si,239208.05263415218,21917.357593040804,558738.0237506496
om=0.01,cap,211400,Si,234198.6496663151,21792.122518844877,558738.0237506496
om=0.01,cap,220100,Si,207349.18901425146,21120.886002543288,558738.0237506496
om=0.01,cap,220200,Si,173358.11612247085,20271.10918024877,558738.0237506496
om=0.01,cap,220300,Si,201547.17811348304,20975.835730024075,558738.0237506496
om=0.01,cap,220400,Si,176881.71218661842,20359.19908185246,558738.0237506496
om=0.01,cap,220500,Si,158778.82421756486,19906.626882626122,558738.0237506496
om=0.01,cap,220600,Si,174773.0303544339,20306.482036047844,558738.0237506496
om=0.01,cap,220700,Si,229579.95273183598,21676.6550954829,558738.0237506496
om=0.01,cap,220800,Si,259387.01276602852,22421.831596337714,558738.0237506496
om=0.01,cap,222400,Si,169294.77152508093,20169.525565314023,558738.0237506496
om=0.01,cap,230100,Si,165911.1631779772,20084.93535663643,558738.0237506496
