case,context,strategy,share,before_viable,after_viable,after_si,after_sj,after_t,total_public_usd,private_gain_usd,additional_discounted_mwh
t_deg=0.02,cap,Matched gap,0.3,258,333,333,0,0,8058247.749963999,210.00000000000182,1332423.8236313215
t_deg=0.02,area,General,0.0,337,337,337,0,0,0.0,0.0,0.0
t_deg=0.02,area,New technology,0.0,337,337,337,0,0,0.0,0.0,0.0
t_deg=0.02,area,Matched gap,0.0,337,337,337,0,0,0.0,0.0,0.0
t_deg=0.02,area,General,0.1,337,337,337,0,0,28272515.530322563,26926205.26697386,0.0
t_deg=0.02,area,New technology,0.1,337,337,335,2,0,101365.1255749302,13444.499655097723,-6391.005532854057
t_deg=0.02,area,Matched gap,0.1,337,337,337,0,0,0.0,0.0,0.0
t_deg=0.02,area,General,0.2,337,337,337,0,0,56545031.060645126,53852410.53394775,0.0
t_deg=0.02,area,New technology,0.2,337,337,15,22,300,71367809.12663275,11023183.843141476,584990.6452826364
t_deg=0.02,area,Matched gap,0.2,337,337,337,0,0,0.0,0.0,0.0
t_deg=0.02,area,General,0.3,337,337,337,0,0,84817546.5909677,80778615.80092162,0.0
t_deg=0.02,area,New technology,0.3,337,337,0,4,333,115722588.39948343,47270964.52302146,707352.0867720534
t_deg=0.02,area,Matched gap,0.3,337,337,337,0,0,0.0,0.0,0.0
sj_burn=0,cap,General,0.0,295,295,0,295,0,0.0,0.0,0.0
sj_burn=0,cap,New technology,0.0,295,295,0,295,0,0.0,0.0,0.0
sj_burn=0,cap,Matched gap,0.0,295,295,0,295,0,0.0,0.0,0.0
sj_burn=0,cap,General,0.1,295,310,0,310,0,12531750.0,11642282.939926952,218152.66235054267
sj_burn=0,cap,New technology,0.1,295,310,0,310,0,12531750.0,11642282.939926952,218152.66235054267
sj_burn=0,cap,Matched gap,0.1,295,310,0,310,0,307368.6630766992,15.0,218152.66235054267
sj_burn=0,cap,General,0.2,295,330,3,327,0,26789954.95496291,24023968.082691774,494511.58195278025
sj_burn=0,cap,New technology,0.2,295,330,0,330,0,26680500.0,24013512.040841833,491185.8416765731
sj_burn=0,cap,Matched gap,0.2,295,330,3,327,0,1564828.368136547,38.0,494511.58195278025
sj_burn=0,cap,General,0.3,295,334,121,213,0,47127874.77525601,37893990.26348379,640187.551027014
sj_burn=0,cap,New technology,0.3,295,334,0,334,0,40505850.0,36786772.618585825,541467.8464808045
sj_burn=0,cap,Matched gap,0.3,295,334,121,213,0,7339351.948598029,159.0,640187.551027014
sj_burn=0,area,General,0.0,337,337,188,16,133,0.0,0.0,0.0
